"Tanggal","Jenis.Produk","Jumlah.Order","Harga","Total","Bulan","Tahun"
2023-07-27,"Ivory230+LaminasiDoff",1000,1100,1100000,7,2023
2023-07-27,"GreaseProof",1000,450,450000,7,2023
2023-07-27,"FoodpakMatte245",2000,1000,2000000,7,2023
2023-07-29,"Ivory250",2000,1700,3400000,7,2023
2023-07-30,"Dupleks310",2000,1700,3400000,7,2023
2023-07-31,"FoodpakMatte245",3000,1500,4500000,7,2023
2023-07-31,"Ivory230",1000,1350,1350000,7,2023
2023-07-31,"Dupleks350",1000,3000,3000000,7,2023
2023-07-31,"Ivory270",1100,1300,1430000,7,2023
2023-07-31,"Cupstock",1000,2800,2800000,7,2023
2023-08-01,"Ivory230",1000,1400,1400000,8,2023
2023-08-01,"Craft290Laminasi",1000,1200,1200000,8,2023
2023-08-02,"Ivory350",8000,900,7200000,8,2023
2023-08-02,"Ivory350",4000,900,3600000,8,2023
2023-08-02,"Ivory230",3500,800,2800000,8,2023
2023-08-02,"Dupleks350",2000,2000,4000000,8,2023
2023-08-02,"Dupleks310",1000,1700,1700000,8,2023
2023-08-03,"Ivory230",2000,950,1900000,8,2023
2023-08-03,"Ivory230",1000,1400,1400000,8,2023
2023-08-04,"Ivory210",1000,1200,1200000,8,2023
2023-08-04,"Ivory270",1000,5000,5000000,8,2023
2023-08-05,"Dupleks310",3500,1300,4550000,8,2023
2023-08-05,"Ivory250",1000,500,500000,8,2023
2023-08-05,"Craft270",1000,1350,1350000,8,2023
2023-08-05,"CraftFoodpak290",2000,1700,3400000,8,2023
2023-08-07,"Dupleks270",1000,1900,1900000,8,2023
2023-08-07,"FoodpakMatte245",2000,1000,2000000,8,2023
2023-08-07,"Ivory270",4000,700,2800000,8,2023
2023-08-07,"GreaseProof",3500,250,875000,8,2023
2023-08-07,"Dupleks270",4000,1800,7200000,8,2023
2023-08-07,"Dupleks270",4000,1400,5600000,8,2023
2023-08-07,"FoodpakMatte245",6000,1100,6600000,8,2023
2023-08-08,"CraftFoodpak290",500,2500,1250000,8,2023
2023-08-09,"FoodpakMatte245",1000,1500,1500000,8,2023
2023-08-09,"CraftLaminasi290",3000,800,2400000,8,2023
2023-08-09,"CraftLaminasi290",2000,875,1750000,8,2023
2023-08-09,"GreaseProof",1000,300,300000,8,2023
